Марка;Город;Цена в $;Цена в UAH;Ссылка
Alfa Romeo Stelvio 2019;Одесса;45072;1274400;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1851161.html
Alfa Romeo Stelvio 2019;Днепр (Днепропетровск);45072;1274400;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1833613.html
Alfa Romeo Giulietta 2019;Одесса;22911;647800;https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1833723.html
Alfa Romeo Stelvio 2020;Днепр (Днепропетровск);49911;1411200;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1849590.html
Alfa Romeo Giulietta 2019;Харьков;22911;647800;https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1834743.html
Alfa Romeo Giulia 2018;Днепр (Днепропетровск);34020;961900;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1824584.html
Alfa Romeo Stelvio 2018;Днепр (Днепропетровск);42685;1206900;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1830259.html
Alfa Romeo Giulietta 2019;Днепр (Днепропетровск);22911;647800;https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1831737.html
Alfa Romeo Giulia 2019;Одесса;34020;961900;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1850320.html
Alfa Romeo Stelvio 2019;Харьков;47987;1356800;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1834745.html
Alfa Romeo Stelvio 2019;Днепр (Днепропетровск);47987;1356800;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1815550.html
Alfa Romeo Stelvio 2019;Днепр (Днепропетровск);47361;1339100;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1817603.html
